order	patch_no	decision	category	sha256	filename	reason
1	7	skip	build/packaging	9d974b64d7a5bbefc200b84bbca1f86986c97904932e53c6cd5ce499f55c5526	php-5.3.0-recode.centos.patch	build/packaging glue, not a source security/bug backport
2	42	skip	build/packaging	096595b4ad84784edb8add19f83a83230178801fe2832c412be246429323a101	php-7.0.0-systzdata-v13.centos.patch	build/packaging glue, not a source security/bug backport
3	43	skip	build/packaging	25a4b9b4b39839b3330f0f6c023f8be8d11932dfdd6f40e5fc0fec2c76441807	php-5.4.0-phpize.centos.patch	build/packaging glue, not a source security/bug backport
4	100	skip	build/packaging	b78cd5a36a4709ea4e43e5babe73648ae6ace870cc0e34a5417177045834b4f0	php-7.0.x-mail-header.cpanel.patch	build/packaging glue, not a source security/bug backport
5	101	skip	build/packaging	4ec7e697f059b674bb9446f9000a19fe51de29ef0b34bbb0071973e50e11f0f5	php-7.x-disable-zts.cpanel.patch	build/packaging glue, not a source security/bug backport
6	102	skip	build/packaging	ea840b55ec0afcacf8abcaae3e33886d8e30c0da8bbd0f4efb9a7e016edfd792	php-7.0.x-ea4-ini.patch	build/packaging glue, not a source security/bug backport
7	104	skip	build/packaging	e02cf911f297dca2dad0c44006cf2a8c4b8a7614b88b90783ef42f336010c16f	php-7.0.x-fpm-user-ini-docroot.patch	build/packaging glue, not a source security/bug backport
8	105	skip	vendor/sapi	e0bc9f45b38fe8a3a30ab4d702f2b7328b8541d40131d1ce4109373f36b27641	php-7.0.x-fpm-jailshell.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
9	200	skip	build/packaging	9384d494096b926c2dbd8ea6969bd25aeeb89822a27cd2e3a02e989e8a7e2889	php-fpm.epoll.patch	build/packaging glue, not a source security/bug backport
10	201	skip	build/packaging	b48a7e6e95cbd4e69097b5117c864680171dece08ed7ee1d6b3f25215351513a	php-8.2-fix-for-libxml2.13.patch	build/packaging glue, not a source security/bug backport
11	400	skip	build/packaging	73a3a71206c83e7df93e79b14d6c65778c55e6c5ec8b54d094c5cce737efa9e4	0020-PLESK-sig-block-reexec.patch	build/packaging glue, not a source security/bug backport
12	401	skip	build/packaging	3968652ded8941f3a5db6a5528c468143eed92a759e5e00890f76d8c7809e239	0021-PLESK-avoid-child-ignorance.patch	build/packaging glue, not a source security/bug backport
13	402	skip	build/packaging	2327553b4a0065dd740340e6c80d790da102dcd5615ae704536ab8e8b1e3fc9b	0022-PLESK-missed-kill.patch	build/packaging glue, not a source security/bug backport
14	501	skip	build/packaging	ce471cbe49cf9317faf8d1ae887b721f551d1b321f722ed417d9dd75f1aa4276	0031-Update-libxml-include-file-references.patch	build/packaging glue, not a source security/bug backport
15	210	skip	vendor/sapi	3fd750969ac7a0d2cf0aa569684f3bad912014196dd13db0d015daae2dde2f32	litespeed-8.0.1-process_lsapi_phpini.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
16	211	skip	vendor/sapi	491ef6f48877d858b0c061b19f6b0785333faee5089bc0eb0abccca85ddfe655	litespeed-8.0.1-userini_homedir.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
17	212	skip	vendor/sapi	2eaaf7625d16ecd79f3866d9a29a1c8a8ec53f973e22a770a3a69d6943cb566e	litespeed-8.0.1-log.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
18	213	skip	vendor/sapi	b19ddaf83c5bb2f1b87822fe94ee7fdf40040446ecbad6cc651aed39a38ad41d	litespeed-8.0.1.use_reject.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
19	215	skip	vendor/sapi	1c900b78ca1bfc3a4333aa1110e2f1dfe0c89c66551bf2e29287d0a110c69e7a	litespeed-8.0.1.avoid_zombies.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
20	216	skip	vendor/sapi	5ed0d8178d2c4172a3fed29c2a31efec1598b971517fc2b0b64f54fe73ce7da7	litespeed-8.0.1.dis_keeplistener.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
21	217	skip	vendor/sapi	5901f255dc1fd6a72dc8a9bd627a7b46c69057efa2b600fb2ee00bbc8d9a0db7	litespeed-8.0.1-graceful_stop.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
22	218	skip	vendor/sapi	796b4d8fded2bb7ac156be2e0a79959019feadf3a4679282eddf26484cc7d48c	litespeed-8.0.1.crash_limit.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
23	219	skip	vendor/sapi	fc6dbda1d4fdf7236778d5c3b9a6343e6ab810a47090e9688794ba9943aa10e0	litespeed-8.0.1-tsrmls.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
24	220	skip	vendor/sapi	2c2f4ee2a9531978d02188e8c433171a87610c7ba87e0dc2a69c0d1f781f85ec	litespeed-8.0.1-cloudlinux.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
25	221	skip	vendor/sapi	cb1f55c15df284b9c991fd2f594334df6c80b68d487db46fb58a9bf8d738ac5a	litespeed-8.0.1.wink_fix.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
26	222	skip	vendor/sapi	a30f0094074c3605b9b204b2f6236c5c68c6a1511737c1a2b9be7bd8c5a8cfea	litespeed-8.0.1-move_override_ini.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
27	997	skip	build/packaging	c3a60053b6ad8a973c08b73b20506152c578fcce7acbc62820ccf769391f4964	php-7.0.33-snmp-disable-des.patch	build/packaging glue, not a source security/bug backport
28	998	skip	build/packaging	d14c7d8d8530c53dcd98c1b3ce9f0cc7485080a0acca8ccee78230199e862ffe	php-7.0-intl-use-icu-namespace.patch	build/packaging glue, not a source security/bug backport
29	999	keep	forced	2c50f04ef183f169380424d12a598949f54ea380732c4c8c54d9f1b031a1e076	php-7.0.33-fix-for-openssl-3.0.x.patch	force-kept via patches-local/include
30	1000	skip	vendor/sapi	a34dd390e6867acd556b2cb7f33ae5b7297f04f909a4deb1b7cd8aeb0fad9324	cloudlinux-php-fpm.7.0.dl.ea-php.v4.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
31	1001	keep	bug	3a084ed344273bc3da3d2e5842a109a5dea9213e50f9d2d8808ad8a04aa7938c	php-7.0.32-bug52974.patch	
32	1002	keep	bug	2da0d0a466b17a8740e49d93889fb75c5909103b8fd9480873f7cef7926c2065	php-7.0.32-bug55146.patch	
33	1003	keep	bug	dcc10d8098391f8b58301b6d7765b703b2c3feb0bbc121b3bbf4c1e4a44ade63	php-7.0.32-bug60494.patch	
34	1004	keep	bug	28f67e56b99d66fdb0e557b4a3b2b76efde362d9eb4847d72ae67e4dded7b0ba	php-7.0.32-bug63839.patch	
35	1005	keep	bug	d58abde262a1697d7d0b2debd116baa155c2f932e88912c39c5ebe240976cf20	php-7.0.32-bug65988.patch	
36	1006	keep	bug	f0553192c317a196e1802a562f33c498d1921a73240416c7af335d53c0602594	php-7.0.32-bug66828.patch	
37	1007	keep	bug	d40f0c6760e2a9068857be454a9c453bf5023877a0fc660257eb9275beeeefd3	php-7.0.32-bug68175.patch	
38	1008	keep	bug	061aa7e26c7cb18e984b2c8cdf53bdf55013b0cf1979579d71257288f80bbf95	php-7.0.32-bug68180.patch	
39	1010	keep	bug	016270f67999d7f6925c3077f4f72ecf7eeabf422311545c0469fbbea53b64c6	php-7.0.32-bug68825.patch	
40	1011	keep	bug	7e6970ddd29eb8f27a686dcace091ebdb02fa4f39e9f2012fff0faebe0490f3c	php-7.0.32-bug72443.patch	
41	1012	keep	bug	8d444d22736ff73c2efd03a4f8b7039bd7fe099e72ad67d518d57bceae907a9c	php-7.0.32-bug73457.patch	
42	1013	keep	bug	77f93d1170e8434d062e31e33a2976871ed21f98323b7c45540eed4ce60443bd	php-7.0.32-bug73817.patch	
43	1014	keep	bug	79a7293dc3946b988ffd6be1ea499022c4f26ae4a3ef864bd1819fb357727fab	php-7.0.32-bug74454.patch	
44	1015	keep	bug	62f479c464b489f01bb1a3a1f916c2efca4e0caf7b512d76120ada1289b20fdb	php-7.0.32-bug74484.patch	
45	1016	keep	bug	c0da4cc030e1c6e1db859ea8c1801ab241cad82660eb5f2937815c14c93f4eca	php-7.0.32-bug74670.patch	
