order	patch_no	decision	category	sha256	filename	reason
1	7	skip	build/packaging	ce1adb509ca05d665355a1e69970aaf1abc96905e6dc1ea55df440045da7b0de	0001-Modify-recode-to-allow-IMAP-and-recode-to-be-simulta.patch	build/packaging glue, not a source security/bug backport
2	43	skip	build/packaging	4adb39fe00ae86635a76d22aed83aabaf731e2f1ebbbcf94768ba050a72a6740	0002-Prevent-PEAR-package-from-bringing-in-devel.patch	build/packaging glue, not a source security/bug backport
3	100	skip	build/packaging	df4fa7246f69f426094823fe505b715a5bac02a90451c1e4dc805f352ce4778f	0003-Modify-standard-mail-extenstion-to-add-X-PHP-Script-.patch	build/packaging glue, not a source security/bug backport
4	101	skip	build/packaging	03e16465debc3855477392647b5cb59aab2fb09fbd545bfc601fc5804fbbf00b	0004-Removed-ZTS-support.patch	build/packaging glue, not a source security/bug backport
5	104	skip	build/packaging	a116558d584bd0c5db656ab2871d22d9f7e578a76a107331f1c949b4e89c9973	0006-FPM-Ensure-docroot-is-in-the-user-s-homedir.patch	build/packaging glue, not a source security/bug backport
6	105	skip	vendor/sapi	15e50708cd25cb99053ce3625bca5483d8ed4b860290eff8b7cccbd371787237	0007-Chroot-FPM-users-with-noshell-and-jailshell.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
7	106	skip	build/packaging	0b6be041b798e2baf8e95b28e4a8f0ba5c88e2335334866dc93562584c93726a	0008-Patch-epoll.c-per-bug-report-in-upstream.patch	build/packaging glue, not a source security/bug backport
8	107	skip	build/packaging	c063b384bfd9f7a59101e7019d17bf349dc1b59983bff3f21fa5effcf4b7e387	0009-Add-support-for-use-of-the-system-timezone-database-.patch	build/packaging glue, not a source security/bug backport
9	108	skip	build/packaging	44f0572c67406d8aec567e6d6a3f32e4a55cc0c30b56bc6c60ff0d39db673202	0010-Add-AUTOCONF-AUTOHEADER-variables-for-C6.patch	build/packaging glue, not a source security/bug backport
10	400	skip	build/packaging	f38f3921f3651ab2f53ea1e2f0580455a7bc53e8fedbd726da97705924fc0245	0011-0020-PLESK-sig-block-reexec.patch	build/packaging glue, not a source security/bug backport
11	401	skip	build/packaging	9e1d8d4da962177c41ee48c29ad9ae662e326f1d0cd1a98ebb13635a486c997c	0012-0021-PLESK-avoid-child-ignorance.patch	build/packaging glue, not a source security/bug backport
12	402	skip	build/packaging	50d8191e2f17fe70bbb13d5dcdb2f7783021ba068f69eb80c8e8eac78119df39	0013-0022-PLESK-missed-kill.patch	build/packaging glue, not a source security/bug backport
13	403	skip	build/packaging	28195c570a9af18a597fe3242ad0edb07b3bb69c9d3e8a36e6996a1aaf07e5d0	0014-Revert-new-.user.ini-search-behavior.patch	build/packaging glue, not a source security/bug backport
14	404	skip	build/packaging	d2457426d7cc349df117d4a2a6a3a1385eb61a92642c45c858bdcc68c11e0281	0015-Update-libxml-include-file-references.patch	build/packaging glue, not a source security/bug backport
15	405	skip	build/packaging	2e9036caec2019df2af43ba8671136ec06fc8877fed786aeaee383c931c92747	0015-libxml2-2.13-makes-changes-to-how-the-parsing-state-.patch	build/packaging glue, not a source security/bug backport
16	210	skip	vendor/sapi	9bda529c370864f63e813aeba752f107058ea41c9ee1b7e5a7a87537f96e3644	litespeed-8.0.1-process_lsapi_phpini.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
17	211	skip	vendor/sapi	1f01c3b0f1e0c4e6c5eca3c62878abf153dca43a2a869015c265754479633f7d	litespeed-8.0.1-userini_homedir.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
18	212	skip	vendor/sapi	d8604c92c40acdb680f717cfaa9135b882ffc00088651e6538490a3aa1f7c4a3	litespeed-8.0.1-log.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
19	213	skip	vendor/sapi	2f4aa28896f2ff99c6de6436fa215e51f2e221e087a5a07561fca1c40c1ba881	litespeed-8.0.1.use_reject.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
20	215	skip	vendor/sapi	86f98239b73b168f73d630734d37a5aaa1ae44b150eeed5fa7817c5007977aaf	litespeed-8.0.1.avoid_zombies.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
21	216	skip	vendor/sapi	46b0215acc34a5637d4a478be5fcb2195c2dea794ef0422f03485ef9abcae629	litespeed-8.0.1.dis_keeplistener.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
22	217	skip	vendor/sapi	420f72c10dc6dde98fed0088c912d34e7df92cfd2daac686249107da56ba9e10	litespeed-8.0.1-graceful_stop.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
23	218	skip	vendor/sapi	847ad299b7c4375f785f27469a026d1bf49a1183af06784cb5ab4cf442ab320e	litespeed-8.0.1.crash_limit.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
24	219	skip	vendor/sapi	fc6dbda1d4fdf7236778d5c3b9a6343e6ab810a47090e9688794ba9943aa10e0	litespeed-8.0.1-tsrmls.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
25	220	skip	vendor/sapi	fa4419e11069a4c7f6fe391939d4288b50ba0994ced0c650b7d9d027d40c447a	litespeed-8.1-cloudlinux.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
26	221	skip	vendor/sapi	52cdc2e745a420cfa78c83ab482001371e9e8053d323169f65588f452b555136	litespeed-8.0.1.wink_fix.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
27	222	skip	vendor/sapi	a30f0094074c3605b9b204b2f6236c5c68c6a1511737c1a2b9be7bd8c5a8cfea	litespeed-8.0.1-move_override_ini.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
28	223	skip	vendor/sapi	18c203d514bb5658088df99273b1a9a74923bdcaee04d3a01c72397407d5b344	litespeed-8.3-document_root_env.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
29	1000	skip	vendor/sapi	a34dd390e6867acd556b2cb7f33ae5b7297f04f909a4deb1b7cd8aeb0fad9324	cloudlinux-php-fpm.7.0.dl.ea-php.v4.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
30	1001	skip	build/packaging	26c782b5cdbdeb752b1ad4b99b84e76152129fcea043b937706249bb7bccc599	php-7.3.33-snmp-disable-des.patch	build/packaging glue, not a source security/bug backport
31	1002	keep	forced	5830339a4de270def88ddba1449a5de0fc336908fbe2fd625bddacaef6645c09	php-7.3.33-fix-for-openssl-3.0.x.patch	force-kept via patches-local/include
32	504	keep	hardened	c2d2b034687dd65c9cf9819f9750761d9b0c9d33dac2959fe8a4032e7d1ceece	hardened-bug80713.patch	
