order	patch_no	decision	category	sha256	filename	reason
42	510	keep	hardened	acaa8046eb2ed4893aa4e48bef2c8d74678b2d10ca74390de86cbe13c2767fc2	hardened-bug80763.patch	
43	511	keep	hardened	c26410f98adf587c629792142962b38b358202851567f0ef7e9a4f8833d7cd80	hardened-bug80783.patch	
44	512	keep	hardened	a706ab75b8610f2bb162d25119274bc30a2c8c40e1390e371416ea99d8738263	hardened-bug80950.patch	
45	513	keep	hardened	0c36f1c38bf661d043d088fd299ce014e3574966613997ba2632bae776713e9f	hardened-bug80889.patch	
46	514	keep	hardened	5537bd687e24926cde71a54aadc786de6f8db7561b7da0ce9b0a9bbcfb14473e	hardened-bug80747.patch	
47	515	keep	hardened	10f643ed7f83a4bcd150e70085446ceb6585c732fd89c7475f805682f59d921d	hardened-bug79812.patch	
48	516	keep	hardened	68441f48811b9166acf0a9bcbfb95c6996be429f711f380b1648e63312fc68e4	hardened-bug75850.patch	
49	517	keep	hardened	79160e964612f8f7f2c521453564e21553e96d6b1551bf594c59eb0fb5bd63ec	hardened-bug51903.patch	
50	518	keep	hardened	734b2326b673107c5b34d11f5c0971f8f785ae14219cda9a4b8ee5e8b3bb6608	hardened-bug78680.patch	
51	519	keep	hardened	e7622a80c8f7d21808b73fe03d11ecfbe2476567d27954efd06ecc481beda3c5	hardened-bug80757.patch	
52	520	keep	hardened	3638d2920025f505d4123b79267ff012e503caf4c70412b019045956487ad2a3	hardened-bug78719.patch	
53	521	keep	hardened	bc8b071e3cf47cd4e2b8ea75f71a60a2d2c089cee4f5130f06d2f3ff85adf87b	hardened-bug74779.patch	
54	522	keep	hardened	d6c4bf7eed7ce504b81753f7d614d9e1c39068d06c1d0f716612a863a44daedf	hardened-bug80915.patch	
55	523	keep	hardened	ada189115e8f1061804f6289127cf5ce4fe071778e6dd913fbe821468db5ba30	hardened-bug53467.patch	
56	524	keep	hardened	6bab60fd006056ee52c3a0ae7fd8bb10ae049df3d36c29e3f80baa8349cf147d	hardened-bug73533.patch	
57	525	keep	hardened	401d52d10f6e8a9fb0c85fafd9535b20093ca627742ba6bc4482852741baf860	hardened-bug80817.patch	
58	526	keep	hardened	e1417f86f9ae4c5a30eb8ccf139de67f3ea3dfd45bf39e2ae78c12c23da383e2	hardened-bug80654.patch	
59	527	keep	hardened	b974b00edb1a208fd8324130ba145fa4b4a55d30b89f6f5642cdf66961a6399f	hardened-bug66783.patch	
60	528	keep	hardened	7411c98ab978dab4bad81ede2cb688dbd43628ad0a060bb2017fcccbf3215da3	hardened-bug80771.patch	
61	529	keep	hardened	694faa40d9abd6f71aae1d01ea3cf399b0e4c0497103109c0493ee8026735ddc	hardened-bug69668.patch	
62	530	keep	hardened	876b21519088854e593592784644bcd2c13e05d32d8e4aba523ab50da602670b	hardened-bug76448.patch	
63	531	keep	hardened	a5ea5836092ae9c622ccf55065cf7ea6f0c89961562496142052d99176f68a18	hardened-bug76452.patch	
64	532	keep	hardened	81b0922909a2f4e3ec6c07d876d887299b22d00eea8a18a340e12b6a83e42deb	hardened-bug76450.patch	
65	533	keep	hardened	58f5a4e9a8739ecefb3e817b16993e4530cd881534e8b34a4086f6c0cb2f111f	hardened-bug76449.patch	
66	534	keep	hardened	ec8695e3ea7eb4642e7d34330046fbb81a7ebf9ed79f755aadb09564b23d0e16	hardened-72595.patch	
67	535	keep	hardened	87c2be0799a10cb63ccb43191ec9121053bb18b9ddab615049a1ebd2dc5f84d6	hardened-81294.patch	
68	536	keep	hardened	d5343c7bf3cea0f8a43b9c9466f2cf5e2b220003e9407c04819f6de4697ecd0a	hardened-81283.patch	
69	537	keep	hardened	5f33a9f051383b90eb88a66f1668f8174fd2ff589a250264c85cfa86416fc931	hardened-81211.patch	
70	538	keep	hardened	4aa96b481757c17239511dead27d733af7ce3e57a8d9cdf116012580550ac4fb	hardened-80849.patch	
71	539	keep	hardened	ef27945d57b80cfda208fe4711e9670a3b7a11e0ee7ac0603d0268f4310422db	hardened-81305.patch	
72	540	keep	hardened	ccbf53869ec0a044bbe5a9dfc17e828b95112fd867d18037d4adfaa10df716f7	hardened-66719.patch	
73	541	keep	hardened	0f4abd7b639212f30c04b64c2cf0bc91ed5f3dc0183a40c849f38b6b3712c2e7	hardened-81252.patch	
74	542	keep	hardened	d5634d02e50baf25271a0887c6170d2cf8a865e29cdee2e80bae9152cbe819bf	hardened-72146.patch	
75	543	keep	hardened	d95535fa4a902a4ce03b2f974504cc05edba203db76195e589bc090c8740ff20	hardened-51498.patch	
76	544	keep	CVE	c247259865b3f00f04ea94601e9e7c54da3ebdbbe01234749614a3517301f4ba	upstream-CVE-2021-21707.patch	
77	545	keep	CVE	4fc7d8d35eebeae28e4f45caf4425a984ca5200d58a954a8e8eb803bde186cb1	upstream-cve-2021-21703.patch	
78	546	keep	CVE	c77f53f005ec46c203f89f0d85ec6e49267190b4e2e9b93b0576d966baf8938e	php-7.0-CVE-2022-31625.patch	
79	547	keep	CVE	b4772d7365a6d80c4dbdef88d38fbbbb453432992fa7d4888d91f74fb7940d1c	php-7.2-CVE-2022-31626.patch	
80	548	keep	CVE	222459089738b6cb0683c1c85041ed9a561e9c8d30848b49d3d266459ccde0a4	php-7.0-CVE-2021-21705.patch	
81	549	keep	CVE	7bd53fa03a521c17232f1cf631954119d084e8669a67227a1eeabc5d749f1bb7	php-upstream-CVE-2022-31629.patch	
82	550	keep	CVE	5f54ac5334cd54480ac9d454052e445b1511e40e9c551defdb54d5fe8efd7cf8	php-7-CVE-2022-31628.patch	
